Geology Code,Geology Code Description,Geology Code2,Geology Code 2 Description,Legend Code,Legend Code Description,Geology Description,Geological Formation,BGS Lexicon,BGS Lexicon Description,Location ID,Top Depth,Sample Type,Sample Reference,SampleID,Base Depth,MC Specimen Depth,MC Specimen Reference,MC Specimen Description,MC Specimen Preparation,Moisture Content,Is Natural MC,LLPL Specimen Depth,LLPL Specimen Reference,LLPL Specimen Description,LLPL Specimen Preparation,Liquid Limit,Plasticity Index,Plastic Limit,Plastic Limit Value,Limit Percentage Passing,Limit Size Passing,Limit Remarks,Limit Method,Grading Specimen Depth,Grading Specimen Reference,Grading Specimen Description,Grading Specimen Preparation,Uniformity Coefficient,Clay Percentage,Silt Percentage,Sand Percentage,Gravel Percentage,Cobbles Percentage,Fines Percentage,PD Specimen Depth,PD Specimen Reference,PD Specimen Description,PD Specimen Preparation,Particle Density,Particle Density Method,Shrinkage Specimen Depth,Shrinkage Specimen Reference,Shrinkage Specimen Description,Shrinkage Specimen Preparation,Shrinkage Limit,Shrinkage Ratio,Density Specimen Top,Density Specimen Reference,Density Specimen Description,Density Specimen Preparation,Density Test Type,Bulk Density,Dry Density,Density Moisture Content,Organic Content,Geology Top Depth,Geology Base Depth
"AC","Ampthill Clay Formation","AC_UW","Undefined","203","Sandy CLAY","Stiff and very stiff indistinctly fissured indistinctly thinly laminated dark grey slightly sandy CLAY with many partings and lenses of fine to medium sand and silt and occasional locally some shell fragments including belemnites and oysters. Fissures are extremely closely to closely spaced randomly orientated. (AMPTHILL CLAY FORMATION)","Ampthill Clay","","","BH304","14.00","D","017","","","14.00","01","","Natural","18.00","","14.00","01","","","48.00","31.00","17","17.00","100.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.71","14.56"
"AL","Alluvium","AL_C","Undefined","220","Sandy gravelly CLAY","Soft to firm light brown slightly gravelly sandy CLAY. Gravel is subangular to subrounded fine to medium of flint and occasionally chalk (ALLUVIUM) (2).","Head","","","TP302","0.50","D","001","","","0.50","01","","Wet sieve","38.00","","0.50","01","","","65.00","30.00","35","35.00","88.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.30","0.60"
"AL","Alluvium","AL_C","Undefined","220","Sandy gravelly CLAY","Soft to firm light brown slightly gravelly sandy CLAY. Gravel is subangular to subrounded fine to medium occasionally coarse of flint and chalk (ALLUVIUM) (2).","Alluvium","","","TP301","0.50","D","001","","","0.50","01","","Wet sieve","21.00","","0.50","01","","","46.00","28.00","18","18.00","78.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","0.59"
"AL","Alluvium","AL_C","Undefined","203","Sandy CLAY","Firm light greyish brown slightly sandy CLAY. (ALLUVIUM) (2).","Alluvium","","","OS01","0.50","D","001","","","0.50","01","","Natural","19.00","","0.50","01","","","52.00","25.00","27","27.00","100.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.40","0.55"
"AL","Alluvium","AL_C","Undefined","220","Sandy gravelly CLAY","Firm light grey slightly sandy slightly gravelly CLAY. Gravel sized fragments are angular to subrounded fine to medium occasionally coarse of flint, chalk, charcoal and animal bone (Possible Archaeological Feature) (ALLUVIUM) (3).","Alluvium","","","TP328","0.50","D","001","","","0.50","01","","Wet sieve","22.00","","0.50","01","","","42.00","24.00","18","18.00","88.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.40","0.90"
"AL","Alluvium","AL_C","Undefined","220","Sandy gravelly CLAY","Soft to firm orangish brown slightly sandy slightly gravelly CLAY. Gravel is fine to medium occasionally coarse of flint and chalk (HEAD DEPOSITS) (2).","Head","","","TP327","0.50","D","001","","","0.50","01","","Wet sieve","22.00","","0.50","01","","","56.00","37.00","19","19.00","94.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.30","0.99"
"AL","Alluvium","AL_C","Undefined","220","Sandy gravelly CLAY","Soft to firm orangish brown slightly sandy slightly gravelly CLAY. Gravel is fine to medium occasionally coarse of flint and chalk (HEAD DEPOSITS) (2).","Head","","","TP327","0.50","LB","002","","","","","","","","","","","","","","","","","","","","","0.50","01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.30","0.99"
"AL","Alluvium","AL_C","Undefined","220","Sandy gravelly CLAY","Firm grey slightly sandy slightly gravelly CLAY with occasional roots and rootlets. Gravel is subangular to subrounded fine to coarse of flint and chalk. (ALLUVIUM) (2)","Alluvium","","","TP335","0.50","D","001","","","0.50","01","","Natural","26.00","","0.50","01","","","61.00","39.00","22","22.00","100.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","0.65"
"AL","Alluvium","AL_C","Undefined","203","Sandy CLAY","Soft light orangish brown mottled bluish grey slightly sandy CLAY. Sand is fine to coarse.","ALLUVIUM","","","BH425","1.20","B","6","","1.65","","","","","","","","","","","","","","","","","","","1.20","","","","","48.00","16.00","35.00","1.00","0.00","63.50","","","","","","","","","","","","","","","","","","","","","","0.60","1.50"
"AL","Alluvium","AL_C","Undefined","203","Sandy CLAY","Soft light orangish brown mottled bluish grey slightly sandy CLAY. Sand is fine to coarse.","ALLUVIUM","","","BH425","1.20","D","7","","1.65","1.20","","","","35.00","","1.20","","","","74.00","47.00","27","27.00","100.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.60","1.50"
