Location ID,National-Regional Database Unique ID,Location Type,Status,Final Depth,Investigation,Phase,Sub Location,GroundLevelLidar,GroundLevelLeapfrog,Ground Level,Easting,Northing,Orig_Arb,Chck_ArB,Apprvd_ArB,Latitude Decimal,Longitude Decimal,Latitude,PDF Log Link,Not Digitised Justification,Longitude,Date Start,Date End,Data reuse permissions,National Grid Referencing System,LoggedBy,LoggedDate,Investigation client,Investigation engineer,Investigation contractor,Remarks,Location Purpose,Termination Reason,Well Cap,Grid Letter Reference,Local X Grid,Local Y Grid,Local Level,Local Datum,Local Grid System,Projection Format,Locationing Method,Elevation Method,Alignment ID,Offset,Chainage,Transformation,Checked by,Checked Date,Approved by,National Datum Referencing System,Original Location ID,Original Job ID,Original Company,Northing Traverse End,Longitude End,Local Y End,Local X End,Local Level End,Latitude End,Ground Level End,Easting Traverse End,On BGS GeoIndex,Easting Proposed,Northing Proposed,Proposed Ground Level,Section strip width,Reference level 1
"BH02","SU49NW20","CP+RC","HISTORIC","40.00","1991 to 1992 - Exploration Associates","","","59.62","59.62","59.30","443512.50","195874.00","MR_11/03/2025","LW_11/03/2025","","51.659975","-1.372325","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1991%20to%201992%20-%20Exploration%20Associates/Seperated%20logs/BH02.pdf","","","","","Full","OSGB","","","Thames Water Utilities Limited","Halcrow and Partners Ltd.","Exploration Associates Ltd.","","","","","","","","","","","","","","","","","","","","","","SU49NW20","","","","","","","","","","","Yes","","","","",""
"BH03","SU49NE174","CP+RC","HISTORIC","9.20","1991 to 1992 - Exploration Associates","","","56.34","56.34","56.20","445037.00","196074.00","MR_11/03/2025","LW_11/03/2025","","51.661654","-1.350261","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1991%20to%201992%20-%20Exploration%20Associates/Seperated%20logs/BH03.pdf","","","","","Full","OSGB","","","Thames Water Utilities Limited","Halcrow and Partners Ltd.","Exploration Associates Ltd.","","","","","","","","","","","","","","","","","","","","","","SU49NE174","","","","","","","","","","","Yes","","","","",""
"BH04","SU49NE175","CP+RO","HISTORIC","15.00","1991 to 1992 - Exploration Associates","","","54.30","54.30","54.10","446144.00","196006.00","MR_12/03/2025","NM_20/03/2025","","51.660953","-1.334267","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1991%20to%201992%20-%20Exploration%20Associates/Seperated%20logs/BH04.pdf","","","","","Full","OSGB","","","Thames Water Utilities Limited","Halcrow and Partners Ltd.","Exploration Associates Ltd.","","","","","","","","","","","","","","","","","","","","","","SU49NE175","","","","","","","","","","","Yes","","","","",""
"BH05","SU49NE176","CP","HISTORIC","13.80","1991 to 1992 - Exploration Associates","","","53.43","53.43","53.60","446810.50","195989.00","MR_12/03/2025","NM_20/03/2025","","51.660745","-1.324635","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1991%20to%201992%20-%20Exploration%20Associates/Seperated%20logs/BH05.pdf","","","","","Full","OSGB","","","Thames Water Utilities Limited","Halcrow and Partners Ltd.","Exploration Associates Ltd.","","","","","","","","","","","","","","","","","","","","","","SU49NE176","","","","","","","","","","","Yes","","","","",""
"BH07","SU49NW22","CP+RC","HISTORIC","40.00","1991 to 1992 - Exploration Associates","","","58.10","58.10","57.80","443098.00","195126.00","MR_12/03/2025","NM_20/03/2025","","51.653282","-1.378409","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1991%20to%201992%20-%20Exploration%20Associates/Seperated%20logs/BH07.pdf","","","","","Full","OSGB","","","Thames Water Utilities Limited","Halcrow and Partners Ltd.","Exploration Associates Ltd.","","","","","","","","","","","","","","","","","","","","","","SU49NW22","","","","","","","","","","","Yes","","","","",""
"BH08","SU49NW23","CP+RC","HISTORIC","40.00","1991 to 1992 - Exploration Associates","","","57.51","57.51","57.40","443769.50","195420.00","MR_12/03/2025","NM_20/03/2025","","51.655873","-1.368666","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1991%20to%201992%20-%20Exploration%20Associates/Seperated%20logs/BH08.pdf","","","","","Full","OSGB","","","Thames Water Utilities Limited","Halcrow and Partners Ltd.","Exploration Associates Ltd.","","","","","","","","","","","","","","","","","","","","","","SU49NW23","","","","","","","","","","","Yes","","","","",""
"BH09","SU49NE177","CP+RC","HISTORIC","18.60","1991 to 1992 - Exploration Associates","","","55.36","55.36","55.10","445007.00","195218.50","MR_12/03/2025","NM_20/03/2025","","51.653965","-1.350805","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1991%20to%201992%20-%20Exploration%20Associates/Seperated%20logs/BH09.pdf","","","","","Full","OSGB","","","Thames Water Utilities Limited","Halcrow and Partners Ltd.","Exploration Associates Ltd.","","","","","","","","","","","","","","","","","","","","","","SU49NE177","","","","","","","","","","","Yes","","","","",""
"BH10","SU49NE178","RC","HISTORIC","80.00","1991 to 1992 - Exploration Associates","","","54.54","54.54","54.80","445846.50","195202.50","MR_12/03/2025","LW_21/03/2025","","51.653753","-1.338673","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1991%20to%201992%20-%20Exploration%20Associates/Seperated%20logs/BH10.pdf","","","","","Full","OSGB","","","Thames Water Utilities Limited","Halcrow and Partners Ltd.","Exploration Associates Ltd.","","","","","","","","","","","","","","","","","","","","","","SU49NE178","","","","","","","","","","","Yes","","","","",""
"BH101B","SU49SE275","RC","HISTORIC","33.00","1993 to 1995 - Costain Geotechnical Services","","","56.17","56.17","56.26","445040.00","194600.00","AC_14/03/2025","","","51.648401","-1.350407","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1993%20to%201995%20-%20Costain%20Geotechnical%20Services/Seperated%20logs/BH101B.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SU49SE275","","","","","","","","","","","Yes","","","","",""
"BH102","SU49SW63","RC","HISTORIC","49.56","1993 to 1995 - Costain Geotechnical Services","","","58.02","58.02","58.06","444850.00","193660.00","AC_26/03/2025","","","51.639965","-1.353273","","https://arup.sharepoint.com/:b:/r/teams/prj-30356800/Data%20and%20Documents%20Library/GE%20-%20Geotechnical/GI%20reports/1993%20to%201995%20-%20Costain%20Geotechnical%20Services/Seperated%20logs/BH102.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SU49SW63","","","","","","","","","","","Yes","","","","",""
